ID,Material,Formula,Category,Phase,Equation,A,B,C,D,E,Tmin,Tmax,Unit,Source
12,Titanium,Ti,Metal,Solid,Shomate,22.61942,18.98795,-18.18735,7.080792,-0.143457,298,700,J/mol·K,NIST Chemistry WebBook
12,Titanium,Ti,Metal,Solid,Shomate,44.37174,-44.09225,31.70602,0.052209,0.036168,700,1700,J/mol·K,NIST Chemistry WebBook
12,Titanium,Ti,Metal,Solid,Shomate,23.0566,5.541331,-2.055881,1.611745,-0.056075,298,1939,J/mol·K,NIST Chemistry WebBook
13,Cobalt,Co,Metal,Solid,Shomate,10.9943,54.375,-55.5132,25.817,0.164533,298,700,J/mol·K,NIST Chemistry WebBook
13,Cobalt,Co,Metal,Solid,Shomate,-204.576,515.582,-421.55,129.558,17.9267,700,1394,J/mol·K,NIST Chemistry WebBook
13,Cobalt,Co,Metal,Solid,Shomate,-12418.9,15326.4,-7087.15,1167.31,3319.77,1394,1768,J/mol·K,NIST Chemistry WebBook
14,Magnesium,Mg,Metal,Solid,Shomate,26.54083,-1.533048,8.062443,0.57217,-0.174221,298,923,J/mol·K,NIST Chemistry WebBook
15,Calcium,Ca,Metal,Solid,Shomate,19.77517,10.10813,14.50338,-5.529491,0.178031,298,1100,J/mol·K,NIST Chemistry WebBook
15,Calcium,Ca,Metal,Solid,Shomate,11.11735,38.52364,-8.891419,-9.618305,0.39185,298,716,J/mol·K,NIST Chemistry WebBook
15,Calcium,Ca,Metal,Solid,Shomate,-40.63785,126.7765,-69.73891,17.93162,5.409494,716,1115,J/mol·K,NIST Chemistry WebBook
16,Sodium,Na,Metal,Solid,Shomate,72.63675,-9.491572,-730.9322,1414.518,-1.259377,298,370,J/mol·K,NIST Chemistry WebBook
17,Lithium,Li,Metal,Solid,Shomate,169.552,-882.711,1977.438,-1487.312,-1.609635,298,453,J/mol·K,NIST Chemistry WebBook
18,Potassium,K,Metal,Solid,Shomate,-63.4741,-3226.34,14644.6,-16229.5,16.2941,298,336.35,J/mol·K,NIST Chemistry WebBook
19,Lead,Pb,Metal,Solid,Shomate,25.0145,5.441836,4.061367,-1.236214,-0.010657,298,600.6,J/mol·K,NIST Chemistry WebBook
20,Lead,Pb,Metal,Liquid,Shomate,38.00449,-14.62249,7.255475,-1.03337,-0.330775,600.6,2019.022,J/mol·K,NIST Chemistry WebBook
21,Vanadium,V,Metal,Solid,Shomate,26.30167,1.396587,2.214139,0.403977,-0.176428,298,2190,J/mol·K,NIST Chemistry WebBook
22,Niobium,Nb,Metal,Solid,Shomate,22.0143,9.88816,-5.64853,1.759691,0.021839,298,2750,J/mol·K,NIST Chemistry WebBook
23,Hafnium,Hf,Metal,Alpha solid,Shomate,22.71033,10.86443,-1.901809,0.306368,-0.007587,298,2500,J/mol·K,NIST Chemistry WebBook
23,Hafnium,Hf,Metal,Beta solid,Shomate,14.99366,9.234131,-0.000539,0.000106,0.000024,298,2500,J/mol·K,NIST Chemistry WebBook
24,Zirconium,Zr,Metal,Alpha solid,Shomate,29.01663,-12.55597,20.74954,-5.914,-0.157249,298,1700,J/mol·K,NIST Chemistry WebBook
24,Zirconium,Zr,Metal,Beta solid,Shomate,25.3924,0.434236,4.384539,1.017123,-0.065449,298,800,J/mol·K,NIST Chemistry WebBook
24,Zirconium,Zr,Metal,Beta solid,Shomate,22.00069,2.211893,0.410633,0.705368,2.927135,800,2125,J/mol·K,NIST Chemistry WebBook
25,Boron,B,Boron/Metalloid,Solid,Shomate,10.18574,29.24415,-18.02137,4.212326,-0.550999,298,1800,J/mol·K,NIST Chemistry WebBook
25,Boron,B,Boron/Metalloid,Solid,Shomate,25.12664,1.975493,0.338395,-0.040032,-2.635578,1800,2350,J/mol·K,NIST Chemistry WebBook
26,Lithium fluoride,LiF,Ceramic ,Solid,Shomate,41.75837,18.7111,0.693674,-0.992621,-0.487055,298,1121.3,J/mol·K,NIST Chemistry WebBook
26,Lithium fluoride,LiF,Ceramic ,Liquid,Shomate,64.18298,4.20E-11,-2.30E-11,3.92E-12,1.15E-12,1121.3,3000,J/mol·K,NIST Chemistry WebBook
27,Lithium chloride,LiCl,Ceramic ,Solid,Shomate,43.74372,20.37056,0.30643,-0.094178,-0.160419,298,883,J/mol·K,NIST Chemistry WebBook
27,Lithium chloride,LiCl,Ceramic ,Liquid,Shomate,73.18025,-9.047232,-0.31639,0.079587,0.013594,883,2000,J/mol·K,NIST Chemistry WebBook
28,Lithium hydride,LiH,Ceramic ,Solid,Shomate,15.45842,52.9322,-0.09997,0.029244,-0.291667,298,961.8,J/mol·K,NIST Chemistry WebBook
28,Lithium hydride,LiH,Ceramic ,Liquid,Shomate,62.34202,0,0,0,0,961.8,2000,J/mol·K,NIST Chemistry WebBook
29,Magnesium oxide,MgO,Ceramic,Solid,Shomate,47.25995,5.681621,-0.872665,0.1043,-1.053955,298,3105,J/mol·K,NIST Chemistry WebBook
30,Calcium oxide,CaO,Ceramic,Solid,Shomate,49.95403,4.887916,-0.352056,0.046187,-0.825097,298,3200,J/mol·K,NIST Chemistry WebBook
31,Zirconium dioxide,ZrO2,Ceramic,Solid,Shomate,69.20001,8.54829,-0.862921,0.246374,-1.382767,298,1478,J/mol·K,NIST Chemistry WebBook
31,Zirconium dioxide,ZrO2,Ceramic,Solid,Shomate,74.4752,0,0,0,0,1478,2950,J/mol·K,NIST Chemistry WebBook
32,Aluminium nitride,AlN,Ceramic,Solid,Shomate,17.23264,85.63811,-83.2729,29.63427,-0.537933,298,900,J/mol·K,NIST Chemistry WebBook
32,Aluminium nitride,AlN,Ceramic,Solid,Shomate,49.78374,2.238047,-0.742003,0.087952,-2.813004,900,3000,J/mol·K,NIST Chemistry WebBook
33,Silicon carbide,SiC,Ceramic,Alpha solid,Shomate,20.55859,64.57962,-52.98827,16.95813,-0.781847,298,1000,J/mol·K,NIST Chemistry WebBook
33,Silicon carbide,SiC,Ceramic,Alpha solid,Shomate,46.90222,5.845968,-1.08541,0.093021,-3.448876,1000,4000,J/mol·K,NIST Chemistry WebBook
33,Silicon carbide,SiC,Ceramic,Beta solid,Shomate,20.50009,63.3717,-49.54023,14.82801,-0.759969,298,1100,J/mol·K,NIST Chemistry WebBook
33,Silicon carbide,SiC,Ceramic,Beta solid,Shomate,48.22227,5.004148,-1.037594,0.086339,-3.912333,1100,4000,J/mol·K,NIST Chemistry WebBook
34,Beryllium oxide,BeO,Ceramic,Alpha solid,Shomate,3.358974,131.5922,-140.4937,56.20953,-0.536669,298,800,J/mol·K,NIST Chemistry WebBook
34,Beryllium oxide,BeO,Ceramic,Alpha solid,Shomate,47.06205,5.598359,-0.49557,0.054527,-2.947373,800,2780,J/mol·K,NIST Chemistry WebBook
34,Beryllium oxide,BeO,Ceramic,Beta solid,Shomate,24.68978,52.56317,-36.35239,9.487932,-1.053896,298,1500,J/mol·K,NIST Chemistry WebBook
34,Beryllium oxide,BeO,Ceramic,Beta solid,Shomate,48.35281,4.393033,-0.090144,0.007823,-3.469105,1500,2780,J/mol·K,NIST Chemistry WebBook
35,Iron(II) oxide,FeO,Ceramic,Solid,Shomate,45.7512,18.78553,-5.952201,0.852779,-0.081265,298,1650,J/mol·K,NIST Chemistry WebBook
36,Chromium(III) oxide,Cr2O3,Ceramic,Solid,Shomate,-147396,711495,-1111270,407561,2077.16,298,305,J/mol·K,NIST Chemistry WebBook
36,Chromium(III) oxide,Cr2O3,Ceramic,Solid,Shomate,124.655,-0.337045,5.70501,-1.05347,-2.030501,305,2603,J/mol·K,NIST Chemistry WebBook
37,Titanium carbide,TiC,Ceramic,Solid,Shomate,5.55433,149.865,-171.069,67.1354,-0.269136,298,1000,J/mol·K,NIST Chemistry WebBook
37,Titanium carbide,TiC,Ceramic,Solid,Shomate,43.27,4.53336,2.0214,-0.203272,1.701881,1000,3290,J/mol·K,NIST Chemistry WebBook
37,Titanium carbide,TiC,Ceramic,Liquid,Shomate,62.7623,-0.001173,0.000225,-0.000015,-0.003425,3290,4500,J/mol·K,NIST Chemistry WebBook
38,Boron nitride,BN,Ceramic,Solid,Shomate,-1.626426,101.9817,-81.52482,25.65093,-0.223052,298,1100,J/mol·K,NIST Chemistry WebBook
38,Boron nitride,BN,Ceramic,Solid,Shomate,78.1475,-23.33367,6.844396,-0.699753,-17.04034,1100,3500,J/mol·K,NIST Chemistry WebBook
39,Aluminium oxide,Al2O3,Ceramic,Alpha,Shomate,102.429,38.7498,-15.9109,2.628181,-3.007551,298,2327,J/mol·K,NIST Chemistry WebBook
39,Aluminium oxide,Al2O3,Ceramic,Gamma,Shomate,108.683,37.2263,-14.2065,2.193601,-3.209881,298,2327,J/mol·K,NIST Chemistry WebBook
39,Aluminium oxide,Al2O3,Ceramic,Delta,Shomate,106.918,36.6219,-13.9759,2.15799,-3.157761,298,2327,J/mol·K,NIST Chemistry WebBook
39,Aluminium oxide,Al2O3,Ceramic,Kappa,Shomate,106.088,36.3374,-13.8673,2.141221,-3.133231,298,2327,J/mol·K,NIST Chemistry WebBook
40,Quartz,SiO2,Ceramic,Quartz,Shomate,-6.076591,251.6755,-324.7964,168.5604,0.002548,298,847,J/mol·K,NIST Chemistry WebBook
40,Quartz,SiO2,Ceramic,Quartz,Shomate,58.7534,10.27925,-0.131384,0.02521,0.025601,847,1996,J/mol·K,NIST Chemistry WebBook
41,Titanium dioxide (anatase),TiO2,Ceramic,Anatase,Shomate,67.49796,18.27015,-11.25467,2.371717,-1.492815,298,2000,J/mol·K,NIST Chemistry WebBook
42,Titanium nitride,TiN,Ceramic,Solid,Shomate,50.40716,0.596509,2.944759,-0.305012,-1.209679,298,3220,J/mol·K,NIST Chemistry WebBook
42,Titanium nitride,TiN,Ceramic,Liquid,Shomate,70.43429,-4.570727,1.005445,-0.077511,-8.247124,3220,4500,J/mol·K,NIST Chemistry WebBook
43,Zirconium carbide,ZrC,Ceramic,Solid,Shomate,51.02723,3.68564,-0.199004,0.028938,-1.30381,298,3805,J/mol·K,NIST Chemistry WebBook
44,Boron carbide,B4C,Ceramic,Solid,Shomate,95.99853,23.16513,-0.409604,0.081414,-4.395208,298,2743,J/mol·K,NIST Chemistry WebBook
45,Silicon carbide (alpha),SiC,Ceramic,Alpha,Shomate,20.55859,64.57962,-52.98827,16.95813,-0.781847,298,1000,J/mol·K,NIST Chemistry WebBook
45,Silicon carbide (alpha),SiC,Ceramic,Alpha,Shomate,46.90222,5.845968,-1.08541,0.093021,-3.448876,1000,4000,J/mol·K,NIST Chemistry WebBook
45,Silicon carbide (beta),SiC,Ceramic,Beta,Shomate,20.50009,63.3717,-49.54023,14.82801,-0.759969,298,1100,J/mol·K,NIST Chemistry WebBook
45,Silicon carbide (beta),SiC,Ceramic,Beta,Shomate,48.22227,5.004148,-1.037594,0.086339,-3.912333,1100,4000,J/mol·K,NIST Chemistry WebBook
46,Magnesium oxide,MgO,Ceramic,Solid,Shomate,47.25995,5.681621,-0.872665,0.1043,-1.053955,298,3105,J/mol·K,NIST Chemistry WebBook
47,Barium oxide,BaO,Ceramic,Solid,Shomate,47.4273,13.1362,-3.796501,0.725938,-0.336757,298,2286,J/mol·K,NIST Chemistry WebBook
48,Calcium fluoride,CaF2,Ceramic,Solid,Shomate,89.88404,-46.12023,65.27793,-17.86271,-1.139438,298,1424,J/mol·K,NIST Chemistry WebBook
48,Calcium fluoride,CaF2,Ceramic,Solid,Shomate,108.0564,10.39532,0.022966,-0.002862,-0.02803,1424,1691,J/mol·K,NIST Chemistry WebBook
49,Magnesium fluoride,MgF2,Ceramic,Solid,Shomate,68.55149,22.72586,-12.16218,2.573717,-1.140865,298,1536,J/mol·K,NIST Chemistry WebBook
49,Magnesium fluoride,MgF2,Ceramic,Liquid,Shomate,94.92199,-5.30E-08,2.13E-08,-2.91E-09,-1.30E-08,1536,3000,J/mol·K,NIST Chemistry WebBook
50,Sodium fluoride,NaF,Ceramic,Solid,Shomate,53.0022,-5.95215,12.5635,0.378227,-0.489113,298,1269,J/mol·K,NIST Chemistry WebBook
50,Sodium fluoride,NaF,Ceramic,Liquid,Shomate,66.4335,-2.270481,0.701306,-0.074194,9.03507,1269,3500,J/mol·K,NIST Chemistry WebBook
51,Lithium oxide,Li2O,Ceramic,Solid,Shomate,68.6971,5.467149,23.18308,-9.495631,-1.60244,298,1600,J/mol·K,NIST Chemistry WebBook
51,Lithium oxide,Li2O,Ceramic,Solid,Shomate,98.80851,0.308701,1.715663,-0.145556,-14.90098,1600,1843,J/mol·K,NIST Chemistry WebBook
52,Barium fluoride,BaF2,Ceramic,Solid,Shomate,50.752,114.029,-162.777,92.2164,-0.045675,298,900,J/mol·K,NIST Chemistry WebBook
52,Barium fluoride,BaF2,Ceramic,Solid,Shomate,-297673,573416,-412756,105325,31782.3,900,1240,J/mol·K,NIST Chemistry WebBook
52,Barium fluoride,BaF2,Ceramic,Solid,Shomate,495029,-709571,380866,-72583.2,-95735.1,1240,1480,J/mol·K,NIST Chemistry WebBook
52,Barium fluoride,BaF2,Ceramic,Solid,Shomate,-351.859,580.782,-275.099,46.3024,114.844,1480,1641,J/mol·K,NIST Chemistry WebBook
52,Barium fluoride,BaF2,Ceramic,Liquid,Shomate,99.82606,-3.51E-08,1.24E-08,-1.49E-09,-1.22E-08,1641,3500,J/mol·K,NIST Chemistry WebBook
53,Aluminium fluoride,AlF3,Ceramic,Solid,Shomate,-27.17362,594.2661,-1042.272,662.4444,0.019262,298,728,J/mol·K,NIST Chemistry WebBook
53,Aluminium fluoride,AlF3,Ceramic,Solid,Shomate,92.96722,8.667826,0.148503,-0.006692,-0.942781,728,2523,J/mol·K,NIST Chemistry WebBook
53,Aluminium fluoride,AlF3,Ceramic,Liquid,Shomate,125.52,-3.00E-06,7.02E-07,-6.49E-08,-3.00E-06,2523,4000,J/mol·K,NIST Chemistry WebBook
54,Caesium fluoride,CsF,Ceramic,Solid,Shomate,45.23741,22.6164,-5.541122,2.024714,0.03809,298,976,J/mol·K,NIST Chemistry WebBook
54,Caesium fluoride,CsF,Ceramic,Liquid,Shomate,74.05722,-7.54E-10,4.22E-10,-7.33E-11,-2.29E-11,976,3000,J/mol·K,NIST Chemistry WebBook
55,Barium bromide,BaBr2,Inorganic,Solid,Shomate,70.5686,21.62065,-0.001626,0.001652,-0.000068,298,1130,J/mol·K,NIST Chemistry WebBook
55,Barium bromide,BaBr2,Inorganic,Liquid,Shomate,104.851,7.56E-09,-3.40E-09,5.10E-10,1.15E-09,1130,3000,J/mol·K,NIST Chemistry WebBook
56,Barium chloride,BaCl2,Inorganic,Solid,Shomate,49.8765,101.446,-123.107,60.9448,0.390979,298,1198,J/mol·K,NIST Chemistry WebBook
56,Barium chloride,BaCl2,Inorganic,Solid,Shomate,177.128,-106.576,77.3872,-19.5195,-4.4614,1198,1235,J/mol·K,NIST Chemistry WebBook
56,Barium chloride,BaCl2,Inorganic,Liquid,Shomate,108.784,-1.78E-08,7.79E-09,-1.14E-09,-2.95E-09,1235,3000,J/mol·K,NIST Chemistry WebBook
57,Strontium monoxide,SrO,Ceramic,Solid,Shomate,48.55114,8.748034,-0.893966,0.115057,-0.507804,298,2938,J/mol·K,NIST Chemistry WebBook
57,Strontium monoxide,SrO,Ceramic,Liquid,Shomate,66.944,1.16E-07,-2.61E-08,2.03E-09,1.77E-07,2938,5000,J/mol·K,NIST Chemistry WebBook
58,Magnesium bromide,MgBr2,Inorganic,Solid,Shomate,85.69418,-16.67119,25.90026,-5.87827,-0.859787,298,984,J/mol·K,NIST Chemistry WebBook
58,Magnesium bromide,MgBr2,Inorganic,Liquid,Shomate,104.6,-2.54E-07,1.52E-07,-3.09E-08,-1.91E-08,984,2000,J/mol·K,NIST Chemistry WebBook
59,Strontium fluoride,SrF2,Ceramic,Solid,Shomate,36.5194,168.769,-230.884,111.204,0.068095,298,1000,J/mol·K,NIST Chemistry WebBook
59,Strontium fluoride,SrF2,Ceramic,Solid,Shomate,-58525.4,101109,-65313,14992.7,7827.67,1000,1421,J/mol·K,NIST Chemistry WebBook
59,Strontium fluoride,SrF2,Ceramic,Solid,Shomate,165.268,0,0,0,0,1421,1484,J/mol·K,NIST Chemistry WebBook
59,Strontium fluoride,SrF2,Ceramic,Solid,Shomate,-9188.53,8931.57,-3220.34,411.904,4048.57,1484,1750,J/mol·K,NIST Chemistry WebBook
60,Sodium bromide,NaBr,Inorganic,Solid,Shomate,50.18122,10.12185,0.962764,-0.028406,-0.165604,298,1020,J/mol·K,NIST Chemistry WebBook
61,Magnesium sulfate,MgSO4,Inorganic,Solid,Shomate,75.83207,111.722,-39.68842,5.129835,-0.83257,298,1400,J/mol·K,NIST Chemistry WebBook
62,Potassium sulfate,K2SO4,Inorganic,Solid,Shomate,139.505,-1.199884,136.808,-47.14322,-1.663999,298,1200,J/mol·K,NIST Chemistry WebBook
62,Potassium sulfate,K2SO4,Inorganic,Solid,Shomate,114.3424,81.29554,-0.000942,-0.016197,0.000141,298,1342,J/mol·K,NIST Chemistry WebBook
63,Sodium sulfate,Na2SO4,Inorganic,Solid,Shomate,96.97466,149.5454,-44.51148,14.24313,-0.8749,298,1000,J/mol·K,NIST Chemistry WebBook
63,Sodium sulfate,Na2SO4,Inorganic,Solid,Shomate,52.33891,184.8692,129.4622,-60.06174,1.055407,298,1000,J/mol·K,NIST Chemistry WebBook
63,Sodium sulfate,Na2SO4,Inorganic,Solid,Shomate,154.1365,12.24966,49.39296,-15.42553,-0.190212,298,1157,J/mol·K,NIST Chemistry WebBook
63,Sodium sulfate,Na2SO4,Inorganic,Solid,Shomate,252.9416,-309.083,381.0595,-113.814,-3.192919,298,1157,J/mol·K,NIST Chemistry WebBook
63,Sodium sulfate,Na2SO4,Inorganic,Solid,Shomate,97.09767,149.0676,-43.87886,13.96711,-0.877515,298,1000,J/mol·K,NIST Chemistry WebBook
64,Cobalt monoxide,CoO,Ceramic,Solid,Shomate,43.65,22.38373,-16.89386,6.556161,0.532263,298,1600,J/mol·K,NIST Chemistry WebBook
64,Cobalt monoxide,CoO,Ceramic,Solid,Shomate,35.9629,14.1274,1.164304,-0.116488,5.161759,1600,3000,J/mol·K,NIST Chemistry WebBook
65,Copper monoxide,CuO,Ceramic,Solid,Shomate,48.56494,7.498607,-0.05598,0.013851,-0.760082,298,2000,J/mol·K,NIST Chemistry WebBook
66,Iron monoxide,FeO,Ceramic,Solid,Shomate,45.7512,18.78553,-5.952201,0.852779,-0.081265,298,1650,J/mol·K,NIST Chemistry WebBook
67,Lead monoxide,PbO,Ceramic,Solid,Shomate,51.65148,10.49858,-2.693856,1.758934,-0.787718,298,1159,J/mol·K,NIST Chemistry WebBook
67,Lead monoxide,PbO,Ceramic,Solid,Shomate,7.46557,179.586,-233.549,109.207,0.233832,298,762,J/mol·K,NIST Chemistry WebBook
67,Lead monoxide,PbO,Ceramic,Solid,Shomate,47.8634,12.5548,-0.00181,0.000416,0.0002,762,1159,J/mol·K,NIST Chemistry WebBook
68,Niobium monoxide,NbO,Ceramic,Solid,Shomate,43.0034,8.847541,0.018576,-0.005737,-0.402614,298,2210,J/mol·K,NIST Chemistry WebBook
69,Vanadium monoxide,VO,Ceramic,Solid,Shomate,45.97044,14.46601,0.619521,-0.177508,-0.420735,298,2063,J/mol·K,NIST Chemistry WebBook
70,Hematite,Fe2O3,Ceramic,Solid,Shomate,93.41914,108.358,-50.86447,25.584?,-1.611?,298,950,J/mol·K,NIST Chemistry WebBook
70,Hematite,Fe2O3,Ceramic,Solid,Shomate,150.624,0,0,0,0,950,1050,J/mol·K,NIST Chemistry WebBook
70,Hematite,Fe2O3,Ceramic,Solid,Shomate,110.914,32.046?,-9.192?,0.901?,5.431?,1050,2500,J/mol·K,NIST Chemistry WebBook
61,Calcium iodide,CaI2,Inorganic,Solid,Shomate,71.469,19.24837,0.44801,-0.138429,-0.007944,298,1052,J/mol·K,NIST Chemistry WebBook
62,Lithium bromide,LiBr,Inorganic,Solid,Shomate,71.38155,-81.89008,118.8879,-32.37918,-0.689063,298,823,J/mol·K,NIST Chemistry WebBook
62,Lithium bromide,LiBr,Inorganic,Liquid,Shomate,65.26998,1.71E-09,-1.31E-09,3.22E-10,3.01E-11,823,2000,J/mol·K,NIST Chemistry WebBook
63,Sodium iodide,NaI,Inorganic,Solid,Shomate,50.19963,10.22787,0.564543,-0.221018,-0.094625,298,933,J/mol·K,NIST Chemistry WebBook
63,Sodium iodide,NaI,Inorganic,Liquid,Shomate,64.8519,6.50E-05,-2.40E-05,3.00E-06,2.00E-05,933,3000,J/mol·K,NIST Chemistry WebBook
64,Potassium iodide,KI,Inorganic,Solid,Shomate,73.62376,-85.43644,130.0973,-48.86619,-0.502415,298,954,J/mol·K,NIST Chemistry WebBook
64,Potassium iodide,KI,Inorganic,Liquid,Shomate,72.3832,-1.63E-09,1.02E-09,-2.03E-10,-4.12E-11,954,2500,J/mol·K,NIST Chemistry WebBook
65,Caesium chloride,CsCl,Inorganic,Solid,Shomate,44.43199,27.83406,-8.253443,3.968596,0.029749,298,743,J/mol·K,NIST Chemistry WebBook
65,Caesium chloride,CsCl,Inorganic,Solid,Shomate,60.86214,3.057421,1.135405,-0.215987,-0.157675,743,918,J/mol·K,NIST Chemistry WebBook
65,Caesium chloride,CsCl,Inorganic,Liquid,Shomate,77.404,-2.66E-10,1.48E-10,-2.57E-11,-7.77E-12,918,3000,J/mol·K,NIST Chemistry WebBook
66,Sodium carbonate,Na2CO3,Inorganic,Solid,Shomate,175.201,-348.058,743.072,-305.551,-1.634221,298,723,J/mol·K,NIST Chemistry WebBook
66,Sodium carbonate,Na2CO3,Inorganic,Solid,Shomate,-1067,2469.34,-1829.06,505.748,100.182,723,1123,J/mol·K,NIST Chemistry WebBook
67,Lithium carbonate,Li2CO3,Inorganic,Solid,Shomate,68.3323,146.639,-162.573,248.026,-0.702297,298,683,J/mol·K,NIST Chemistry WebBook
67,Lithium carbonate,Li2CO3,Inorganic,Solid,Shomate,-6.39474,261.466,-102.005,42.4723,-0.168328,683,993,J/mol·K,NIST Chemistry WebBook
68,Molybdenum dioxide,MoO2,Ceramic,Solid,Shomate,65.66788,11.56089,5.427778,0.000256,-1.217687,298,3000,J/mol·K,NIST Chemistry WebBook
69,Molybdenum trioxide,MoO3,Ceramic,Solid,Shomate,93.31366,-22.81113,52.63054,-12.74279,-1.416934,298,1074,J/mol·K,NIST Chemistry WebBook
69,Molybdenum trioxide,MoO3,Ceramic,Liquid,Shomate,126.9513,-1.00E-06,7.38E-07,-1.46E-07,-1.10E-07,1074,2000,J/mol·K,NIST Chemistry WebBook
70,Tungsten dioxide,WO2,Ceramic,Solid,Shomate,53.40876,53.53219,-39.0117,11.12019,-0.931241,298,1300,J/mol·K,NIST Chemistry WebBook
70,Tungsten dioxide,WO2,Ceramic,Solid,Shomate,-183.2441,263.9296,-87.96023,10.73338,77.7814,1300,3000,J/mol·K,NIST Chemistry WebBook
71,Tungsten trioxide,WO3,Ceramic,Solid,Shomate,30.5396,200.867,-206.248,76.5193,-0.088904,298,1050,J/mol·K,NIST Chemistry WebBook
71,Tungsten trioxide,WO3,Ceramic,Solid,Shomate,68.3125,35.1268,-10.3539,2.016841,2.24524,1050,1745,J/mol·K,NIST Chemistry WebBook
71,Tungsten trioxide,WO3,Ceramic,Liquid,Shomate,131.796,0,0,0,0,1745,3000,J/mol·K,NIST Chemistry WebBook
72,Zirconium dioxide,ZrO2,Ceramic,Solid,Shomate,69.20001,8.54829,-0.862921,0.246374,-1.382767,298,1478,J/mol·K,NIST Chemistry WebBook
72,Zirconium dioxide,ZrO2,Ceramic,Solid,Shomate,74.4752,0,0,0,0,1478,2950,J/mol·K,NIST Chemistry WebBook
